SPR-10285;2013-02-13T02:34:47,000;2015-03-25T08:19:08,000;No way to specify @Pointcut that matches either a method or a class level annotation, binding expression do not short-circuit;;;;https://jira.spring.io/browse/SPR-10285;wujek.srujek@gmail.com
SPR-10247;2013-01-31T03:12:43,000;2013-02-26T02:38:49,000;Spring LTW does not work with websphere multiple class loader;;;;https://jira.spring.io/browse/SPR-10247;prao81
SPR-10287;2013-02-13T03:34:12,000;2015-03-25T08:20:57,000;spring-aop introduction into Groovy class don't work;;;;https://jira.spring.io/browse/SPR-10287;wujek.srujek@gmail.com
SPR-10408;2013-03-22T10:35:42,000;2013-03-22T14:35:15,000;Contention caused by per-instance/per-request logger creation in ConcurrencyThrottleSupport;;;;https://jira.spring.io/browse/SPR-10408;plethora
SPR-10228;2013-01-28T17:04:02,000;2013-02-07T17:22:58,000;DefaultHandlerExceptionResolver hidden Exception (HttpMessageNotWritableException) silently;;;;https://jira.spring.io/browse/SPR-10228;yong
SPR-11020;2013-10-22T09:43:35,000;2013-11-29T16:10:59,000;"Random retry(?) behavior with &lt;task:scheduled-tasks&gt;";;;;https://jira.spring.io/browse/SPR-11020;plentz
SPR-11851;2014-06-06T06:00:29,000;2014-06-24T12:01:22,000;Spring 4 JMS Listener doesn't work with CommonJ WorkManager;;;;https://jira.spring.io/browse/SPR-11851;Matthias N
SPR-11794;2014-05-16T03:09:36,000;2014-05-16T05:12:02,000;Spring 4 not backward compatible with DWR 2 / 3;;;;https://jira.spring.io/browse/SPR-11794;sanjay.patil
SPR-10442;2013-04-04T17:23:56,000;2014-03-18T17:30:39,000;"Corrupt Data - data on second page of submit is corrupted when referenced via ""path"" attribute (but is fine when referenced using jstl)";;;;https://jira.spring.io/browse/SPR-10442;willdev
SPR-10685;2013-06-24T20:40:55,000;2013-06-28T12:09:57,000;InternalResourceViewResolver process with 404 result;;;UNKNOWN;https://jira.spring.io/browse/SPR-10685;murainwood
SPR-10455;2013-04-09T20:36:01,000;2015-02-03T19:30:09,000;IllegalArgumentException when trying to merge list/set into SpringEL produced list/set;;;;https://jira.spring.io/browse/SPR-10455;bas
SPR-11125;2013-11-26T03:59:10,000;2014-12-10T04:53:27,000;Incorrect ContextClassLoader for CommonJ WorkManager worker threads when Quartz Scheduler is used;;;;https://jira.spring.io/browse/SPR-11125;mag01
SPR-10809;2013-08-06T02:47:22,000;2013-08-07T07:28:49,000;MediaType does not add spaces for parameters;;;;https://jira.spring.io/browse/SPR-10809;frisco
SPR-12873;2015-03-31T20:58:35,000;2015-12-18T03:33:20,000;@Bean and @Value with external property file causes bean creation mis-ordering;;;;https://jira.spring.io/browse/SPR-12873;simonwg
SPR-13580;2015-10-16T15:57:30,000;2015-10-20T02:00:02,000;@PreAuthorize Controller invalidates @Inject in @InitBinder ?;;;;https://jira.spring.io/browse/SPR-13580;smallufo
SPR-12901;2015-04-09T21:23:10,000;2015-04-10T01:16:44,000;Autowired fails upon upcasting with @Configurable;;;;https://jira.spring.io/browse/SPR-12901;moonblade.wolf@gmail.com
SPR-13380;2015-08-23T00:53:30,000;2016-02-11T23:12:11,000;NullPointerException in AspectJ's Java15AnnotationFinder when running on JDK 1.7;;;;https://jira.spring.io/browse/SPR-13380;tzvatot
SPR-13329;2015-08-07T00:47:06,000;2015-08-07T02:56:26,000;Incorrect advice by aspect with pointcut combining type annotations;;;;https://jira.spring.io/browse/SPR-13329;fpavageau
SPR-12478;2014-11-27T05:27:14,000;2014-11-27T05:32:17,000;Compile-time-weaving is using the wrong context to inject dependencies from in environment with servlet- and portlet-context;;;;https://jira.spring.io/browse/SPR-12478;Christian Zaefferer
SPR-13163;2015-06-25T08:52:36,000;2015-06-26T05:16:29,000;BeanPostProcessor won't ever get proxied bean in case of circular references in the bean;;;;https://jira.spring.io/browse/SPR-13163;novoj
